dataset_id,dataset_name,repeat,fold,seed,learner,family,arm,temperature,calibration,n_train_real,n_train_final,minority_prevalence_real,minority_prevalence_final,log_loss,auroc,calibration_slope,calibration_intercept,conformal_set_size,conformal_coverage,f1_tuned,brier,auprc,repair_fraction,generator_fit_seconds,generator_sample_seconds,learner_fit_seconds,inference_seconds,peak_gpu_memory_mb,status,failure_reason,manifest_path,scientific_mark,scientific_status
37,diabetes,0,0,42,xgboost,gbdt,A0,1.0,platt,383,383,0.3472584856396867,0.3472584856396867,0.4696696363315422,0.857037037037037,1.1301023625771267,-0.08850595922203863,1.4350649350649352,0.948051948051948,0.7205882352941176,0.15346816399555857,0.6971663433720154,0.0,0.0,0.0,0.08617946109734476,0.0061968229711055756,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/xgboost_A0_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,xgboost,gbdt,A1,1.0,platt,383,500,0.3472584856396867,0.5,0.4938666101038565,0.8238888888888889,0.96604171298001,-0.17825215719908355,1.422077922077922,0.9155844155844156,0.6481481481481481,0.16846539513210157,0.6521203201494296,0.0,0.0,0.0,0.025466257007792592,0.003193303942680359,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/xgboost_A1_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,xgboost,gbdt,A2,1.0,platt,383,500,0.3472584856396867,0.5,0.4863299988810643,0.8316666666666667,1.0348725647631238,-0.1713210277769181,1.4415584415584415,0.9285714285714286,0.7230769230769231,0.16704940212180755,0.6558389841284017,1.0,0.0,0.0,0.02551028784364462,0.003234534990042448,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/xgboost_A2_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,catboost,gbdt,A0,1.0,platt,383,383,0.3472584856396867,0.3472584856396867,0.4636891384438586,0.856111111111111,1.119104611575708,0.01626209213140743,1.2727272727272727,0.8961038961038961,0.7166666666666667,0.15313369808101474,0.6988292387592802,0.0,0.0,0.0,0.12788542499765754,0.0010740919969975948,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/catboost_A0_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,catboost,gbdt,A1,1.0,platt,383,500,0.3472584856396867,0.5,0.47232037444622454,0.8438888888888888,1.089829021882362,-0.07412577442430356,1.4090909090909092,0.9285714285714286,0.7175572519083969,0.16122009986070832,0.6948027170499417,0.0,0.0,0.0,0.0641852670814842,0.0010470980778336525,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/catboost_A1_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,catboost,gbdt,A2,1.0,platt,383,500,0.3472584856396867,0.5,0.4678386142210126,0.8490740740740741,1.0922461569217663,-0.10795188025473557,1.4285714285714286,0.9285714285714286,0.6846846846846847,0.15864736245442312,0.686495726042078,1.0,0.0,0.0,0.07205113908275962,0.00103937485255301,0.0,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/catboost_A2_r0_f0.json,SMOKE_ONLY_FIXED_HPARAMS,SMOKE_ONLY
37,diabetes,0,0,42,tabpfn,tfm,A0,1.0,platt,383,383,0.3472584856396867,0.3472584856396867,0.47471251904380063,0.8381481481481482,0.9157409723037109,-0.13393398934547712,1.3181818181818181,0.8831168831168831,0.6451612903225806,0.157136196429375,0.6944188857422662,0.0,0.0,0.0,0.06890746112912893,0.4556052931584418,27.63671875,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/tabpfn_A0_r0_f0.json,,SMOKE_ONLY
37,diabetes,0,0,42,tabpfn,tfm,A1,1.0,platt,383,500,0.3472584856396867,0.5,0.4982156215199323,0.8192592592592594,0.8876051344772452,-0.1583076878622938,1.4285714285714286,0.9285714285714286,0.6666666666666666,0.16972912835738027,0.6423207941135409,0.0,0.0,0.0,0.07263854308985174,0.3109541761223227,35.76171875,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/tabpfn_A1_r0_f0.json,,SMOKE_ONLY
37,diabetes,0,0,42,tabpfn,tfm,A2,1.0,platt,383,500,0.3472584856396867,0.5,0.4801888777937254,0.8366666666666667,0.954817289815873,-0.2618835485011658,1.396103896103896,0.9155844155844156,0.6078431372549019,0.1623539068661877,0.6676103949397576,1.0,0.0,0.0,0.07036337908357382,0.30940417805686593,35.76171875,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/tabpfn_A2_r0_f0.json,,SMOKE_ONLY
37,diabetes,0,0,42,tabicl,tfm,A0,1.0,platt,383,383,0.3472584856396867,0.3472584856396867,0.47604729838181153,0.8398148148148149,0.9268563542559178,-0.22882207256646153,1.344155844155844,0.9155844155844156,0.6861313868613139,0.15779020520618064,0.7071949236008923,0.0,0.0,0.0,0.26919229608029127,0.10788580193184316,115.1953125,ok,,/home/cesar/papers/ml/ml/artifacts/smoke/manifests/tabicl_A0_r0_f0.json,,SMOKE_ONLY
